id,BZID,State,Headline,Owner,Contacter,BZURL,
"SPCSS00501871","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=915630"",""915630"")","Opened","[SC7731E][CARON][cm05]进入相机进行拍照，拍照后查看图片-详情，按返回键返回预览界面过程中，反应慢。","qiao.lei","许娇"
"SPCSS00503428","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918244"",""918244"")","Opened","[SC7731E][CARON][CM05]GPS轨迹发生较大偏移","Heidi.Zhao","张杰"
"SPCSS00502348","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916417"",""916417"")","Opened","[SC7731E][CARON][cm05]客户反馈：SD Card Insertion Notification unavailable except once when we first time after Upgarding DUT insert it","yangyang0621","许娇"
"SPCSS00499375","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=911619"",""911619"")","Opened","[SC7731E][CARON][cm05]【量产加急】客户反馈：Play store is not Auto Updating Pre installed apps over Wi-Fi at 04:59 PM","sam.chiu","龚玲珑"
"SPCSS00503998","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919222"",""919222"")","Opened","[SC7731E][CARON][cm05]【量产加急】客户反馈：内存只剩500M，联系人4000条，短信存10000条，进入联系人时响应慢","wangwp0829","龚玲珑"
"SPCSS00504669","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920304"",""920304"")","Opened","[SC7731E][CARON][cm05]【量产加急】客户反馈：进入相机反应慢，点击进入相机到呈现预览画面的时间需要3.8s以上，需优化","nanjun.zhong","许娇"
"SPCSS00503884","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918976"",""918976"")","Opened","[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项：CtsCameraTestCases--android.hardware.camera2.cts.MultiViewTest#testDualCameraPreview fail","Xianyun.He","罗承军"
"SPCSS00500148","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=912875"",""912875"")","Opened","[SC7731E][CARON][CM05]【申请加急处理】GSI 测试项：CtsJvmtiTrackingHostTestCases--android.jvmti.cts.JvmtiHostTestAllocationTracking#testJvmti fail","leon.wang","罗承军"
"SPCSS00496957","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=907649"",""907649"")","Opened","[SC7731E][CARON][CM05]【量产加急】客户反馈：CM05后摄像头主观优化","qiao.lei","罗荣花"
"SPCSS00502328","=HYPERLINK(""http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916395"",""916395"")","Opened","[SC7731E][CARON][cm05]客户反馈：UC Browser In Default SMS apps and some default app not selected by default","xubb0326","许娇"
